combo_id,k,features,pathogen,mcc,full10_mcc,win
1,1,freq,SARS-CoV-2,0.0,0.028419332730392658,0
1,1,freq,H3N2,0.10100065263293784,0.13012617274960553,0
1,1,freq,Norovirus,0.28144431327384084,0.28144431327384084,1
1,1,freq,HIV-1,0.08823254402250541,0.057180745225917574,1
1,1,freq,Dengue,0.04461107487029861,0.081950859734492,0
1,1,freq,RSV,-0.06475239082381762,-0.06475239082381762,1
1,1,freq,Influenza_B,0.18139420713461937,0.21857219780854706,0
1,1,freq,MERS,0.0013663334096261233,0.003057074917215283,0
1,1,freq,HCV,0.33796318470968734,0.12338338489401283,1
1,1,freq,Zika,0.013629076495030883,-0.02308864363138913,1
1,1,freq,Rabies,-0.04909864869034983,-0.04909864869034983,1
1,1,freq,EV-A71,-0.036447611266789165,0.04985754985754986,0
2,1,entropy,SARS-CoV-2,0.0,0.028419332730392658,0
2,1,entropy,H3N2,0.10100065263293784,0.13012617274960553,0
2,1,entropy,Norovirus,0.28144431327384084,0.28144431327384084,1
2,1,entropy,HIV-1,0.09081647771175144,0.057180745225917574,1
2,1,entropy,Dengue,0.018911736861805844,0.081950859734492,0
2,1,entropy,RSV,-0.06475239082381762,-0.06475239082381762,1
2,1,entropy,Influenza_B,0.18387819815639672,0.21857219780854706,0
2,1,entropy,MERS,0.003057074917215283,0.003057074917215283,1
2,1,entropy,HCV,0.28431823475576873,0.12338338489401283,1
2,1,entropy,Zika,0.013629076495030883,-0.02308864363138913,1
2,1,entropy,Rabies,-0.04909864869034983,-0.04909864869034983,1
2,1,entropy,EV-A71,-0.03276353276353276,0.04985754985754986,0
3,1,rare_freq,SARS-CoV-2,0.0,0.028419332730392658,0
3,1,rare_freq,H3N2,0.10100065263293784,0.13012617274960553,0
3,1,rare_freq,Norovirus,0.04473837310702444,0.28144431327384084,0
3,1,rare_freq,HIV-1,0.07392980275521654,0.057180745225917574,1
3,1,rare_freq,Dengue,0.042747547715393915,0.081950859734492,0
3,1,rare_freq,RSV,-0.06475239082381762,-0.06475239082381762,1
3,1,rare_freq,Influenza_B,0.07979619919994575,0.21857219780854706,0
3,1,rare_freq,MERS,0.032372094847937315,0.003057074917215283,1
3,1,rare_freq,HCV,-0.048486251064973916,0.12338338489401283,0
3,1,rare_freq,Zika,0.0,-0.02308864363138913,1
3,1,rare_freq,Rabies,0.0007101044232075388,-0.04909864869034983,1
3,1,rare_freq,EV-A71,0.04485859848220205,0.04985754985754986,0
4,1,homoplasy,SARS-CoV-2,-0.011637031539081596,0.028419332730392658,0
4,1,homoplasy,H3N2,0.08867107961145544,0.13012617274960553,0
4,1,homoplasy,Norovirus,0.41428096935954994,0.28144431327384084,1
4,1,homoplasy,HIV-1,0.02161401246188891,0.057180745225917574,0
4,1,homoplasy,Dengue,0.21789589644984025,0.081950859734492,1
4,1,homoplasy,RSV,-0.03328621661382955,-0.06475239082381762,1
4,1,homoplasy,Influenza_B,0.16976231715062762,0.21857219780854706,0
4,1,homoplasy,MERS,-0.028198198622719682,0.003057074917215283,0
4,1,homoplasy,HCV,-0.1207168404000126,0.12338338489401283,0
4,1,homoplasy,Zika,0.01855554683011329,-0.02308864363138913,1
4,1,homoplasy,Rabies,-0.0989074018039072,-0.04909864869034983,0
4,1,homoplasy,EV-A71,0.09790155020264976,0.04985754985754986,1
5,1,esm2_llr,SARS-CoV-2,-0.02849467560613601,0.028419332730392658,0
5,1,esm2_llr,H3N2,0.013624092282934791,0.13012617274960553,0
5,1,esm2_llr,Norovirus,-0.05679369550368986,0.28144431327384084,0
5,1,esm2_llr,HIV-1,-0.07736218471741789,0.057180745225917574,0
5,1,esm2_llr,Dengue,0.018911736861805844,0.081950859734492,0
5,1,esm2_llr,RSV,-0.06475239082381762,-0.06475239082381762,1
5,1,esm2_llr,Influenza_B,-0.05897979940865555,0.21857219780854706,0
5,1,esm2_llr,MERS,-0.027513674254937545,0.003057074917215283,0
5,1,esm2_llr,HCV,-0.03755146496774304,0.12338338489401283,0
5,1,esm2_llr,Zika,0.007787294005853139,-0.02308864363138913,1
5,1,esm2_llr,Rabies,0.12523198720710096,-0.04909864869034983,1
5,1,esm2_llr,EV-A71,0.04985754985754986,0.04985754985754986,1
6,1,plddt,SARS-CoV-2,-0.02877019772744886,0.028419332730392658,0
6,1,plddt,H3N2,0.1254457607674872,0.13012617274960553,0
6,1,plddt,Norovirus,0.013723311874488206,0.28144431327384084,0
6,1,plddt,HIV-1,-0.022191141330370978,0.057180745225917574,0
6,1,plddt,Dengue,0.05043129829814892,0.081950859734492,0
6,1,plddt,RSV,0.14790520876929053,-0.06475239082381762,1
6,1,plddt,Influenza_B,0.010408199895645098,0.21857219780854706,0
6,1,plddt,MERS,0.12222548930703395,0.003057074917215283,1
6,1,plddt,HCV,-0.07107289937128804,0.12338338489401283,0
6,1,plddt,Zika,-0.016069742623468712,-0.02308864363138913,1
6,1,plddt,Rabies,-0.10109565672179475,-0.04909864869034983,0
6,1,plddt,EV-A71,-0.12923004626749768,0.04985754985754986,0
7,1,sasa,SARS-CoV-2,-0.009523339493959788,0.028419332730392658,0
7,1,sasa,H3N2,-0.015501427833732892,0.13012617274960553,0
7,1,sasa,Norovirus,0.05595230742215371,0.28144431327384084,0
7,1,sasa,HIV-1,-0.010090719745750161,0.057180745225917574,0
7,1,sasa,Dengue,-0.04412738601088031,0.081950859734492,0
7,1,sasa,RSV,0.0,-0.06475239082381762,1
7,1,sasa,Influenza_B,0.010408199895645098,0.21857219780854706,0
7,1,sasa,MERS,0.03362782408936811,0.003057074917215283,1
7,1,sasa,HCV,-0.03755146496774304,0.12338338489401283,0
7,1,sasa,Zika,-0.053964581268631406,-0.02308864363138913,0
7,1,sasa,Rabies,-0.07400302524712851,-0.04909864869034983,0
7,1,sasa,EV-A71,0.09116809116809117,0.04985754985754986,1
8,1,grantham,SARS-CoV-2,-0.03297229652942045,0.028419332730392658,0
8,1,grantham,H3N2,0.013624092282934791,0.13012617274960553,0
8,1,grantham,Norovirus,-0.01921169452840867,0.28144431327384084,0
8,1,grantham,HIV-1,-0.010090719745750161,0.057180745225917574,0
8,1,grantham,Dengue,-0.01260782457453723,0.081950859734492,0
8,1,grantham,RSV,0.0,-0.06475239082381762,1
8,1,grantham,Influenza_B,-0.02428579975650523,0.21857219780854706,0
8,1,grantham,MERS,0.0028407370309013026,0.003057074917215283,0
8,1,grantham,HCV,-0.09423701734452597,0.12338338489401283,0
8,1,grantham,Zika,0.007787294005853139,-0.02308864363138913,1
8,1,grantham,Rabies,0.0007101044232075388,-0.04909864869034983,1
8,1,grantham,EV-A71,0.09116809116809117,0.04985754985754986,1
9,1,dnds_proxy,SARS-CoV-2,0.0,0.028419332730392658,0
