combo_id,k,features,mean_mcc,mean_mcc_top20,mean_mcc_window10,mean_precision20,mean_enrichment,wins_vs_full10,delta_mcc_vs_full10,is_core_4
1,1,freq,0.07494522798063248,0.06356981165164323,0.44239211348496016,0.12916666666666668,1.97127367261347,6,0.005190898976797725,False
2,1,entropy,0.06920343271058728,0.07042605532410712,0.4328305888856366,0.1166666666666667,1.9310428532648671,7,-0.000550896293247477,False
3,1,rare_freq,0.025576227606256153,0.01340099044756689,0.38683720593338333,0.05833333333333335,1.4249776463775234,5,-0.044178101397578606,False
4,1,homoplasy,0.061327973590547875,0.05863866512253013,0.3957753940845809,0.10833333333333334,1.9097260585993574,5,-0.00842635541328688,False
5,1,esm2_llr,-0.011336268755596075,0.004340425959424095,0.29924125551869607,0.0375,0.6970992170291687,4,-0.08109059775943084,False
6,1,plddt,0.008475798739185405,0.01227844948339621,0.44152843543098513,0.03333333333333333,1.4157607511543446,3,-0.06127853026464935,False
7,1,sasa,-0.004467126832714,0.01241445349949759,0.41286690426140343,0.04583333333333334,1.033823446395626,3,-0.07422145583654875,False
8,1,grantham,-0.006439586130679979,-0.010113821396368468,0.4041527098258077,0.041666666666666664,0.9536813499032295,4,-0.07619391513451473,False
9,1,dnds_proxy,0.04398113787455319,0.04916667802529411,0.4424246175080006,0.1166666666666667,1.5879626283008672,4,-0.025773191129281565,False
10,1,semantic_change,0.012378148570793487,-0.012757778643667875,0.3516894291784427,0.06666666666666667,1.3057533817472728,6,-0.05737618043304127,False
11,2,"freq,entropy",0.0759090514548271,0.06242340825535916,0.4400182964892223,0.11250000000000003,1.9773391495611634,7,0.006154722450992342,False
12,2,"freq,rare_freq",0.056556858863974734,0.038882643370427517,0.43568192606960726,0.1125,1.8129685781307667,6,-0.013197470139860022,False
13,2,"freq,homoplasy",0.0897507033428132,0.08724450269727697,0.4818261381944806,0.14583333333333334,2.2614757024636147,7,0.01999637433897844,False
14,2,"freq,esm2_llr",0.024980485646348808,0.030988140944397197,0.42467785717170714,0.1166666666666667,1.2431563722186059,4,-0.04477384335748595,False
15,2,"freq,plddt",0.03126602571288687,0.038880619992312675,0.4678554071199003,0.09166666666666667,1.494087773718291,5,-0.038488303290947885,False
16,2,"freq,sasa",0.05045996178717559,0.06490690638505688,0.48924823690978103,0.10416666666666667,1.7399439844674285,7,-0.019294367216659163,False
17,2,"freq,grantham",0.05071286278155359,0.053163856854363756,0.48542935410911864,0.10416666666666667,1.6523703696871708,8,-0.019041466222281166,False
18,2,"freq,dnds_proxy",0.05337047411330343,0.06227017645996288,0.4615445045357547,0.11250000000000003,1.7042025216099999,4,-0.016383854890531326,False
19,2,"freq,semantic_change",0.0551078788810006,0.05318344485562113,0.4296461536372602,0.12083333333333333,1.7802000483862723,7,-0.014646450122834158,False
20,2,"entropy,rare_freq",0.04969738205389346,0.04505012276909257,0.4120318561438752,0.12083333333333335,1.8131868249708119,5,-0.0200569469499413,False
21,2,"entropy,homoplasy",0.08630131627380055,0.08219943905607106,0.45497343645250155,0.13749999999999998,2.20088115243226,8,0.0165469872699658,False
22,2,"entropy,esm2_llr",0.04198836864458976,0.03085858372310349,0.43488435995140867,0.12500000000000003,1.5326814785574374,5,-0.027765960359244994,False
23,2,"entropy,plddt",0.03842016150301606,0.048548315769976515,0.478538420974032,0.09166666666666667,1.6262356188799778,6,-0.031334167500818695,False
24,2,"entropy,sasa",0.05784666709468301,0.06454721948864699,0.505003475639525,0.1125,1.878664954140089,7,-0.011907661909151747,False
25,2,"entropy,grantham",0.05903102434916644,0.05226758312660654,0.4826783365038047,0.10000000000000002,1.801969968294662,8,-0.010723304654668316,False
26,2,"entropy,dnds_proxy",0.05110262513441321,0.06270186922491372,0.45876182595933607,0.12083333333333335,1.6821248063245948,4,-0.018651703869421547,False
27,2,"entropy,semantic_change",0.06290204522007628,0.05153341830851499,0.4503624344494301,0.12083333333333333,1.883685270982606,7,-0.0068522837837584755,False
28,2,"rare_freq,homoplasy",0.03743597843586988,0.06618127190244547,0.41702504484297354,0.09166666666666667,1.6515901519984473,5,-0.03231835056796488,False
29,2,"rare_freq,esm2_llr",0.0026863043447802443,-0.004516418017424208,0.40450540972903903,0.054166666666666675,1.082184823848649,4,-0.06706802465905451,False
30,2,"rare_freq,plddt",-0.0021440271703940966,0.011019975237205222,0.4533366951425937,0.06250000000000001,1.15173699562129,4,-0.07189835617422885,False
31,2,"rare_freq,sasa",0.006396777479539058,0.0159597970828959,0.4409022090828118,0.05833333333333334,1.2265963466874237,4,-0.0633575515242957,False
