freq,entropy,rare_freq,homoplasy,esm2_llr,plddt,sasa,grantham,dnds_proxy,semantic_change,pathogen
0.0122,0.0102,0.0139,0.0699,0.3308,0.2856,0.2024,0.0149,0.0209,0.0391,SARS-CoV-2
0.0636,0.0772,0.0661,0.0686,0.0703,0.3384,0.0724,0.0636,0.0747,0.1051,H3N2
0.0924,0.0967,0.0223,0.3452,0.1329,0.0598,0.1139,0.0257,0.0778,0.0334,Norovirus
0.0905,0.1268,0.0356,0.1427,0.2136,0.1135,0.074,0.0607,0.0759,0.0666,HIV-1
0.0562,0.0597,0.0355,0.2364,0.1006,0.231,0.0832,0.0838,0.0598,0.0537,Dengue
0.1077,0.1115,0.1051,0.0439,0.1729,0.1436,0.0842,0.0554,0.1061,0.0697,RSV
0.1332,0.1014,0.0668,0.1666,0.0579,0.0955,0.061,0.0813,0.1316,0.1047,Influenza_B
0.0337,0.0567,0.0615,0.1359,0.1045,0.2941,0.0545,0.0712,0.0539,0.1339,MERS
0.0995,0.1035,0.0357,0.1389,0.0981,0.0544,0.097,0.1157,0.1455,0.1118,HCV
0.007501176734048549,0.006602849812665053,0.0,0.0671653624253032,0.16320933130466048,0.20840052306485266,0.15758535210528304,0.16244165399501556,0.06273756495303824,0.1643561856051333,Zika
0.07191394276344772,0.07491826761759096,0.06689435636707294,0.10751709508153989,0.13558252163882265,0.16593030083156168,0.14534452884796278,0.07073547713834517,0.07765623329817749,0.08350727641547867,Rabies
0.02547349336622904,0.03750423278200872,0.031509797100498046,0.10755715737825446,0.1489327137108383,0.28971630687039895,0.12185447014669867,0.08186884066119404,0.051062519834440136,0.10452046814943969,EV-A71
