iteration,omega2_scoring_x_pathogen
0,0.16816904259671156
1,0.26578556627767186
2,0.2522485559769995
3,0.2263522941666644
4,0.3346899282322869
5,0.31514275894802257
6,0.30339844843360964
7,0.2765254733857231
8,0.32450288949803285
9,0.2423053926202176
10,0.3065714385398491
11,0.3320709578577025
12,0.23246030353524433
13,0.32787560011018757
14,0.22655648696518543
15,0.21687319012772052
16,0.2297651491657867
17,0.2978377045169494
18,0.33520873719918737
19,0.26725320747193926
20,0.2861542151276899
21,0.33715659689173266
22,0.23358886520986738
23,0.24892141435990503
24,0.33301643366125117
25,0.3447074902915941
26,0.3230373341599231
27,0.23700215283841375
28,0.2662395674329267
29,0.2977209044695496
30,0.25305302820947656
31,0.25789384725665726
32,0.2776343581231194
33,0.26616942354769196
34,0.21446735435527528
35,0.2703609464014029
36,0.25911998209645676
37,0.3744568366655503
38,0.25988239785785905
39,0.30694596749525127
40,0.2856900669265544
41,0.2715127100788059
42,0.26691670537882006
43,0.2816896358800666
44,0.31203190412810466
45,0.3024340277504789
46,0.36421484188778797
47,0.30546335599211877
48,0.2594857239133752
49,0.28869458161145695
50,0.28994806798185513
51,0.26916510740787686
52,0.30304216790066313
53,0.2456052457501091
54,0.24664028829701048
55,0.28979048307289695
56,0.2701852700055746
57,0.2298948257590021
58,0.25525888489569926
59,0.16816904259671153
60,0.28714757460375356
61,0.2977498319504247
62,0.34408827932576025
63,0.26110742826082173
64,0.22992409147823795
65,0.2634411968684333
66,0.23170429180511334
67,0.2482609056469981
68,0.23257358087229607
69,0.33287057256491354
70,0.20974001654646027
71,0.32853698236575885
72,0.23796174451765148
73,0.16370745470794057
74,0.2919566006569076
75,0.2436611310666734
76,0.1328115489189155
77,0.24969179501891742
78,0.22595114298903707
79,0.2717458374636546
80,0.3033130515173759
81,0.24867045363008577
82,0.2907394096896295
83,0.2398154750818613
84,0.24186097455518826
85,0.24200448833379992
86,0.34533467624423997
87,0.22630647808276433
88,0.22300599247512595
89,0.24867045363008583
90,0.26157979670482284
91,0.2097822665992464
92,0.33765769198012047
93,0.26611744336811505
94,0.2393858241439251
95,0.27677526210429326
96,0.24423885262764067
97,0.3440644373728156
98,0.23483818888607916
99,0.3308822173929797
100,0.30480700126418614
101,0.34506861842848646
102,0.26137843637813574
103,0.25746978695020567
104,0.2459954393136306
105,0.32862595109906617
106,0.31153231676157356
107,0.2611507784592533
