gamma,d,minpts,precision,recall,f1,enrichment_ratio,n_detected,n_clusters
5,2,3,0.9943396226415094,0.4212629896083134,0.5918023582257159,23.76797580803282,530,79
5,2,5,0.975,0.03117505995203837,0.06041828040278854,23.305695443645085,40,5
5,2,7,1.0,0.023980815347721823,0.046838407494145196,23.903277378097524,30,4
5,2,10,0.0,0.0,0.0,0.0,0,0
5,3,3,0.9943396226415094,0.4212629896083134,0.5918023582257159,23.76797580803282,530,79
5,3,5,0.975,0.03117505995203837,0.06041828040278854,23.305695443645085,40,5
5,3,7,1.0,0.023980815347721823,0.046838407494145196,23.903277378097524,30,4
5,3,10,0.0,0.0,0.0,0.0,0,0
5,4,3,0.9943396226415094,0.4212629896083134,0.5918023582257159,23.76797580803282,530,79
5,4,5,0.9782608695652174,0.03597122302158273,0.06939090208172705,23.383640913356274,46,5
5,4,7,1.0,0.02877697841726619,0.055944055944055944,23.903277378097524,36,4
5,4,10,0.0,0.0,0.0,0.0,0,0
5,5,3,0.994328922495274,0.42046362909672264,0.5910112359550561,23.76772003946937,529,79
5,5,5,0.9791666666666666,0.037569944044764186,0.07236335642802155,23.40529243272049,48,5
5,5,7,1.0,0.030375699440447643,0.058960434445306444,23.903277378097524,38,4
5,5,10,1.0,0.008792965627498001,0.01743264659270998,23.903277378097524,11,1
10,2,3,0.9853658536585366,0.6458832933653078,0.7802993722839209,23.55347331890585,820,19
10,2,5,0.9890625,0.5059952038369304,0.6694870438921205,23.64183528177458,640,30
10,2,7,0.9696969696969697,0.051159072741806554,0.09719058466211086,23.178935639367296,66,5
10,2,10,1.0,0.04316546762589928,0.08275862068965519,23.903277378097524,54,4
10,3,3,0.9841656516443362,0.6458832933653078,0.7799227799227799,23.52478455725067,821,19
10,3,5,0.9875195007800313,0.5059952038369304,0.6691331923890064,23.60495254342548,641,30
10,3,7,0.9375,0.05995203836930456,0.11269722013523668,22.40932254196643,80,5
10,3,10,1.0,0.047961630695443645,0.09153318077803205,23.903277378097524,60,4
10,4,3,0.9841656516443362,0.6458832933653078,0.7799227799227799,23.52478455725067,821,19
10,4,5,0.985981308411215,0.5059952038369304,0.6687797147385103,23.568184704572793,642,30
10,4,7,0.9310344827586207,0.06474820143884892,0.12107623318385649,22.254775489952866,87,5
10,4,10,1.0,0.05275779376498801,0.10022779043280183,23.903277378097524,66,4
10,5,3,0.9841656516443362,0.6458832933653078,0.7799227799227799,23.52478455725067,821,19
10,5,5,0.985981308411215,0.5059952038369304,0.6687797147385103,23.568184704572793,642,30
10,5,7,0.9325842696629213,0.06634692246203037,0.12388059701492538,22.291820476203306,89,5
10,5,10,1.0,0.05435651478816946,0.10310841546626232,23.903277378097524,68,4
15,2,3,0.9867924528301887,0.8361310951239008,0.9052358286456079,23.587573714613217,1060,49
15,2,5,0.9828641370869033,0.6418864908073542,0.776595744680851,23.49367409377272,817,18
15,2,7,0.9772209567198178,0.34292565947242204,0.5076923076923077,23.35878358816364,439,31
15,2,10,0.9484536082474226,0.07354116706634692,0.13649851632047477,22.67114967819559,97,5
15,3,3,0.9858490566037735,0.8353317346123101,0.9043704024231933,23.565023452935765,1060,49
15,3,5,0.9841849148418491,0.6466826538768985,0.7805113362276894,23.52524501080401,822,14
15,3,7,0.9794419970631424,0.5331734612310152,0.6904761904761904,23.41187373155807,681,16
15,3,10,1.0,0.08073541167066348,0.14940828402366865,23.903277378097524,101,5
15,4,3,0.9839924670433146,0.8353317346123101,0.9035884133160398,23.520644877694835,1062,49
15,4,5,0.9830097087378641,0.6474820143884892,0.7807228915662651,23.497153733324023,824,13
15,4,7,0.9838709677419355,0.5363709032773781,0.69425763062597,23.517740646192724,682,12
15,4,10,1.0,0.08713029576338929,0.16029411764705884,23.903277378097524,109,5
15,5,3,0.9839924670433146,0.8353317346123101,0.9035884133160398,23.520644877694835,1062,49
15,5,5,0.9830097087378641,0.6474820143884892,0.7807228915662651,23.497153733324023,824,13
15,5,7,0.9838945827232797,0.5371702637889688,0.6949327817993796,23.518305121642072,683,12
15,5,10,0.9576271186440678,0.0903277378097522,0.16508400292184078,22.89042664173746,118,5
20,2,3,0.9822934232715008,0.9312549960031974,0.956093557652852,23.48003216313964,1186,33
20,2,5,0.974025974025974,0.6594724220623501,0.786463298379409,23.28241303061447,847,9
20,2,7,0.9824046920821115,0.5355715427657873,0.693222969477496,23.482691852383198,682,11
20,2,10,0.9512195121951219,0.09352517985611511,0.17030567685589518,22.737263847458618,123,5
20,3,3,0.9806560134566863,0.9320543565147882,0.9557377049180329,23.44089270215451,1189,33
20,3,5,0.9763593380614657,0.6602717825739408,0.787792083929423,23.338188078378906,846,7
20,3,7,0.9724550898203593,0.6490807354116707,0.7785234899328859,23.24486374971879,835,10
20,3,10,0.9225352112676056,0.10471622701838529,0.18808327351040918,22.051615045991376,142,5
20,4,3,0.9765494137353434,0.9320543565147882,0.9537832310838447,23.342731509934435,1194,33
20,4,5,0.9706572769953051,0.6610711430855316,0.7864954826438422,23.20189013108762,852,6
20,4,7,0.9712230215827338,0.6474820143884892,0.776978417266187,23.215413280886082,834,10
20,4,10,0.9205298013245033,0.1111111111111111,0.19828815977175462,22.003679175864608,151,5
20,5,3,0.979009235936188,0.9320543565147882,0.9549549549549549,23.401529322302025,1191,33
20,5,5,0.9740871613663133,0.6610711430855316,0.7876190476190477,23.28387560858263,849,6
20,5,7,0.9746987951807229,0.6466826538768985,0.7775108121095627,23.298495661302287,830,11
20,5,10,0.9774193548387097,0.4844124700239808,0.6477819347942276,23.363525953430806,620,20
