key,value
model0_loglik,7534.202082388532
model0_var_pathogen,0.001277178103647112
model0_var_resid,0.010044482323433858
model0_icc_pathogen,0.11280837399010413
modelA_loglik,7770.038993738166
modelA_var_pathogen,0.0014554055860509926
modelA_var_resid,0.009343391596780817
modelA_icc_pathogen,0.13477478661834966
modelA_aic,
modelA_bic,
modelA_converged,True
modelB_loglik,9308.603382110126
modelB_var_pathogen,0.0012783122832215573
modelB_var_scoringXpathogen,0.00378013240120947
modelB_var_resid,0.006067654686699836
modelB_omega2_int_mixed,0.3397536077214863
modelB_aic,
modelB_bic,
modelB_converged,True
lrt_stat_pathogen_vs_OLS,913.6842942200892
lrt_p_pathogen_vs_OLS,0.0
ols_loglik,7313.196846628121
