strategy,threshold,mean_mcc,median_mcc,std_mcc,min_mcc,max_mcc,n_pathogens,n_positive
oracle,top10,0.16044456056608924,0.1650356448135213,0.11853455913083542,-0.02849467560613601,0.4317723171749656,12,11
oracle,top5,0.15252987010094274,0.14583177689451807,0.15255148310171973,-0.08087038200582258,0.5298417534443086,12,10
oracle,mad2,0.14970806524222227,0.18374833912710148,0.12652158227178809,-0.07457013045372174,0.34986581826531565,12,10
baseline_best_single,top10,0.14691023310999382,0.12383562503726057,0.12335822423171337,-0.02849467560613601,0.41428096935954994,12,11
oracle,top3,0.13982360252863232,0.14755906011779138,0.11199550224950186,-0.06040302465651718,0.3565872220441513,12,11
baseline_best_single,top5,0.11128296633816111,0.07408620458212994,0.14588268517241565,-0.0896609840202833,0.4685453001342329,12,9
baseline_best_single,top3,0.10967194882188293,0.046599878972424465,0.1627597616714808,-0.06780115507031675,0.5502353993649872,12,9
baseline_best_single,mad2,0.09393977515954587,0.05252932684838192,0.1109129934001894,-0.02665745333667786,0.29371618261478044,12,7
baseline_equal,top10,0.0828805578683421,0.06177137509033134,0.10791894909921261,-0.06475239082381762,0.31902631424912203,12,9
baseline_freq,top10,0.07494522798063248,0.029120075682664746,0.12484266289657057,-0.06475239082381762,0.33796318470968734,12,8
baseline_equal,top5,0.07085370289809005,0.0417242986346568,0.09323998850240511,-0.04499050077654549,0.2712411526009746,12,9
baseline_entropy,top10,0.06920343271058728,0.016270406678418364,0.11657189657003504,-0.06475239082381762,0.28431823475576873,12,8
baseline_equal,mad2,0.06891354167744822,0.03629825826534776,0.10004671478907798,-0.06713088456986126,0.2928001908449227,12,9
baseline_freq,top3,0.060256327691644046,0.04234734426141286,0.07692866090138141,-0.03469268550712896,0.21135304950709566,12,8
baseline_entropy,top5,0.05980349589094053,0.013070687716886987,0.10573574187291195,-0.04499050077654549,0.2712411526009746,12,7
baseline_entropy,top3,0.05547167362125483,0.023827979923182658,0.08117196203263334,-0.05214410759774461,0.21135304950709566,12,9
baseline_freq,top5,0.05393472268669768,0.0375937459887786,0.07737541486784594,-0.04499050077654549,0.19818779983846677,12,8
top3_auc,top5,0.0486131806807397,0.02837434970247532,0.10015910415625251,-0.053864168618266976,0.32296127276964137,12,7
baseline_equal,top3,0.04843431080589423,0.015547514597025122,0.07781290893200761,-0.05214410759774461,0.21135304950709566,12,9
corr_ensemble,top10,0.0431498332152862,0.04283278618136869,0.10942464057193275,-0.07736218471741789,0.3566083152244032,12,8
top3_auc,mad2,0.0409475800888564,0.03735528328775924,0.09771173711780338,-0.0913500798969103,0.27346811135723187,12,7
baseline_entropy,mad2,0.040884030943912165,0.02943377505283172,0.09587184811295281,-0.11420266157501241,0.2422290384909083,12,8
corr_ensemble,top3,0.040448629380021105,0.008494546384892401,0.09117246125734045,-0.05214410759774461,0.22748843716359396,12,7
baseline_freq,mad2,0.03665991620278734,0.030339916713483274,0.09672301315015268,-0.12366886990593604,0.23609725808826962,12,8
corr_ensemble,mad2,0.034457295542072185,0.0205082383226787,0.09918172801780878,-0.0801443899700861,0.30075779732742014,12,7
corr_ensemble,top5,0.0337896794856228,0.016998360620809918,0.08838586597584247,-0.053864168618266976,0.2712411526009746,12,7
top3_auc,top10,0.03249108493836892,0.022256408858284123,0.1223076668586801,-0.07736218471741789,0.3941903161996844,12,7
knn_cosine,mad2,0.020186210339524127,0.01661329410277089,0.06046923702559419,-0.07093334490209523,0.1273530917599025,12,8
top3_auc,top3,0.01887665809399915,0.008494546384892401,0.0757079567162907,-0.05214410759774461,0.22748843716359396,12,7
knn_cosine,top3,0.017589598437233876,0.009893637521236258,0.05509839026822205,-0.04158826031465368,0.1629390447233153,12,7
knn_cosine,top5,0.015219141393958885,0.009119855228953897,0.04919380210770646,-0.053864168618266976,0.11608079209497418,12,7
knn_cosine,top10,0.011659050240661712,0.012016146089289945,0.04378526346320507,-0.04412738601088031,0.09656090991705352,12,7
baseline_random,top10,0.00033105105281747583,-0.0015118885329038745,0.004734868207039437,-0.005176527500124214,0.01048691576022347,12,5
baseline_random,mad2,-0.00041016179986789607,-0.0014420096611089063,0.004368999409353709,-0.00630631584929316,0.008269197436908494,12,5
baseline_random,top5,-0.00041016179986789607,-0.0014420096611089063,0.004368999409353709,-0.00630631584929316,0.008269197436908494,12,5
baseline_random,top3,-0.0009780785446569563,-0.0004067625838050753,0.0037969575781338404,-0.007112640548317886,0.005877865966186297,12,6
