pathogen,score,detector,family,mcc,f1,precision,recall,enrichment,n_detected
SARS-CoV-2,E*rare,Wavelet(t=1.0),Wavelet,0.1756270951302806,0.25249169435215946,0.19,0.37623762376237624,2.3684158415841585,200
SARS-CoV-2,E*rare,Wavelet(t=1.5),Wavelet,0.05607806721527109,0.13065326633165827,0.1326530612244898,0.12871287128712872,1.653566377045868,98
SARS-CoV-2,E*rare,Wavelet(t=2.0),Wavelet,0.022373034289349378,0.08383233532934133,0.10606060606060606,0.06930693069306931,1.3220822082208221,66
SARS-CoV-2,E*rare,KDE(p=75),KDE,-0.04908030147735545,0.08653846153846154,0.05714285714285714,0.1782178217821782,0.7123055162659123,315
SARS-CoV-2,E*rare,KDE(p=80),KDE,-0.01619474936119068,0.10198300283286119,0.07142857142857142,0.1782178217821782,0.8903818953323903,252
SARS-CoV-2,E*rare,KDE(p=85),KDE,0.023232463241829933,0.12413793103448276,0.09523809523809523,0.1782178217821782,1.1871758604431872,189
SARS-CoV-2,E*rare,SlidingTest(p=0.01),SlidingTest,-0.00878130601591826,0.09420289855072465,0.07428571428571429,0.12871287128712872,0.925997171145686,175
SARS-CoV-2,E*rare,SlidingTest(p=0.05),SlidingTest,0.019562540125568025,0.13615023474178403,0.08923076923076922,0.2871287128712871,1.1122924600152322,325
SARS-CoV-2,E*rare,GradPeak(p=0.2),GradPeak,0.001523220528351884,0.12711864406779658,0.08086253369272237,0.297029702970297,1.0079795041498758,371
SARS-CoV-2,E*rare,GradPeak(p=0.5),GradPeak,0.09402678593767053,0.17968749999999997,0.14838709677419354,0.22772277227722773,1.849696582561482,155
SARS-CoV-2,E*rare,LocalContrast(z=1.0),LocalContrast,0.14427124232548091,0.20224719101123592,0.23376623376623376,0.1782178217821782,2.913977111996914,77
SARS-CoV-2,E*rare,LocalContrast(z=1.5),LocalContrast,0.0566102456706903,0.052631578947368425,0.23076923076923078,0.0297029702970297,2.8766184310738767,13
SARS-CoV-2,E*rare,LocalContrast(z=2.0),LocalContrast,0.07906566339157638,0.05454545454545454,0.3333333333333333,0.0297029702970297,4.155115511551155,9
SARS-CoV-2,E*rare,"CUSUM(d=0.3,h=3.0)",CUSUM,0.036182642441940735,0.1443850267379679,0.0989010989010989,0.26732673267326734,1.2328364704602328,273
SARS-CoV-2,E*rare,"CUSUM(d=0.5,h=4.0)",CUSUM,0.047223170330271846,0.10714285714285714,0.13432835820895522,0.0891089108910891,1.6744495345056893,67
SARS-CoV-2,E*rare,"CUSUM(d=0.5,h=5.0)",CUSUM,0.016287349440870545,0.07453416149068323,0.1,0.0594059405940594,1.2465346534653468,60
SARS-CoV-2,E*rare,AdaptiveKnee,AdaptiveKnee,0.20415753864055508,0.12612612612612611,0.7,0.06930693069306931,8.725742574257426,10
SARS-CoV-2,E*rare,ScoreDBSCAN(ep=8),ScoreDBSCAN,0.0,0.0,0.0,0.0,0.0,0
SARS-CoV-2,E*rare,ScoreDBSCAN(ep=15),ScoreDBSCAN,0.0,0.0,0.0,0.0,0.0,0
