pathogen,n_positions,n_layer_a,adapt_mcc,adapt_auroc,freq_mcc,entropy_mcc,equal_weight_mcc,best_single_mcc,random_mcc,nn_1,nn_2,nn_3,nn_1_dist,nn_2_dist,nn_3_dist,w_freq,s_freq,w_entropy,s_entropy,w_rare_freq,s_rare_freq,w_homoplasy,s_homoplasy,w_esm2_llr,s_esm2_llr,w_plddt,s_plddt,w_sasa,s_sasa,w_grantham,s_grantham,w_dnds_proxy,s_dnds_proxy,w_semantic_change,s_semantic_change
SARS-CoV-2,1259,25,0.045672403399035624,0.48502431118314426,0.0,0.0,0.045672403399035624,-0.006554259525020553,0.004218037686072945,EV-A71,MERS,Norovirus,11.572516410449069,11.71162554952979,11.94451952667138,0.050151060644484796,0.9999999999999998,0.06331438316632174,0.9999999999999998,0.03851393896597419,0.9999999999999998,0.19489233883806414,0.9999999999999998,0.12883175630069504,0.9999999999999998,0.21584910042474612,-0.3446986837235337,0.09674065685763067,0.9999999999999998,0.0598999558842385,0.3316675524772344,0.06077130243550764,0.3316675524772344,0.09103550648233717,0.9999999999999998
H3N2,543,25,0.06798266721667144,0.4685714285714285,0.06798266721667144,0.06798266721667144,0.14745433201463182,0.05446018427983902,-0.00225240166682572,HCV,Dengue,Zika,1.5679210634712557,1.7278716500449955,1.8099432279308603,0.05660111125728058,1.0,0.05890768759756182,1.0,0.024484708973835312,0.2789443538364436,0.14839289511079107,0.2789443538364436,0.11925234921299396,0.2789443538364436,0.1602720116366082,-0.3456931038872226,0.11140685076058865,-0.3753625422763339,0.11986169893669493,0.2789443538364436,0.09161438523290533,0.3753625422763339,0.1092063012807402,-1.0
Norovirus,536,15,0.16780091226364097,0.4318618042226487,0.11608079209497418,0.2712411526009746,0.2712411526009746,0.4685453001342329,-0.003737109332680023,RSV,Rabies,Dengue,0.8543587404709774,1.1114118964530453,1.448106396641319,0.09279280107646416,-0.49973810835160504,0.09666010377554227,-0.49973810835160504,0.08395944058725421,-0.49973810835160504,0.1258546750390345,0.3481872507498174,0.15918663272540973,-0.49973810835160504,0.19275895335634977,1.0,0.0,-0.15207464089857758,0.07532488160263216,-0.49973810835160504,0.09512902077647084,-0.49973810835160504,0.07833349106084228,-1.0
HIV-1,450,23,-0.053864168618266976,0.44292841869463395,0.0535707079319749,-0.008043987373994501,0.037776193870277974,-0.008043987373994501,0.00031318327820859914,H3N2,Zika,Dengue,9.863331261740871,9.955955046456655,10.349820217256791,0.04232567948437687,1.0,0.04777666879512607,1.0,0.03394871831081997,1.0,0.12244496960512484,1.0,0.11138151803124825,0.3205811083347827,0.25988737656713845,0.32690198350914623,0.10456883979181265,-0.32690198350914623,0.10340798759916042,1.0,0.06585243723149062,0.32690198350914623,0.10840580458370187,-0.3205811083347827
Dengue,490,24,0.1622469974302132,0.5781473533619456,0.0695185749101603,0.03332641028296271,0.11927346838112969,0.16964986311150135,-0.00630631584929316,Rabies,RSV,Norovirus,1.0546252435540082,1.2427861190311402,1.4183774541723981,0.08950017139981778,-0.4263094155455959,0.093136413960504,-0.4263094155455959,0.06660608873429617,-0.4263094155455959,0.15485927232323118,0.22843702665389676,0.14702076574223125,-0.4263094155455959,0.1281691087800719,1.0,0.11630058902254944,0.22843702665389676,0.05279359530976106,-0.4263094155455959,0.08700385568727027,-0.4263094155455959,0.06461013904026698,-0.4263094155455959
RSV,550,20,-0.04499050077654549,0.33367924528301884,-0.04499050077654549,-0.04499050077654549,-0.04499050077654549,0.15872394676031445,-0.004909301970498118,Rabies,Norovirus,Influenza_B,0.7843098703467744,0.8356968187536766,1.0818375992100122,0.09581060365660769,0.24910531831713562,0.08979824265651176,0.24910531831713562,0.05115355417187759,0.24910531831713562,0.2073418680936115,0.24910531831713562,0.11348878023594763,0.24910531831713562,0.10935972426156722,0.4556168939497559,0.1113029097033125,0.24910531831713562,0.05774026594091606,0.24910531831713562,0.09238667337980835,0.24910531831713562,0.07161737789983977,0.24910531831713562
Influenza_B,560,17,0.05491951079861127,0.3963817571227386,0.19818779983846677,0.19818779983846677,0.19818779983846677,0.09371222488442087,-0.004829559784654359,RSV,Rabies,Norovirus,1.0787112493564714,1.1270527277559599,1.630899022655541,0.09074928416543607,-0.49481471184789666,0.09438451975303512,-0.49481471184789666,0.07021619176291231,-0.49481471184789666,0.14324998782335496,0.26897280831815334,0.14914678537269385,-0.49481471184789666,0.13058647944500304,1.0,0.11404392220246522,0.26897280831815334,0.05349992936593346,-0.49481471184789666,0.08854942638549049,-0.49481471184789666,0.06557347372367539,-0.49481471184789666
MERS,1330,9,0.06485187717997909,0.7490958028429641,0.0216167840455823,0.022920425235704815,0.022920425235704815,0.013022655020612488,-0.0018022042803119856,Influenza_B,Zika,H3N2,5.3100465424212,5.358065746891872,5.396929903350277,0.06830730166006362,1.0,0.06181667580440855,1.0,0.044315485202798315,1.0,0.10106392955406049,1.0,0.09708262181911527,0.33854022657325317,0.2134447053123387,-0.33854022657325317,0.09694568320572117,0.33854022657325317,0.10247670287488725,1.0,0.08984140905610741,0.3337423989071159,0.12470548551049933,0.3337423989071159
HCV,340,54,0.08491826937868181,0.5659803159803161,0.195681229437832,0.23260221612421542,0.08491826937868181,0.2695232028105988,0.0015658941859898697,H3N2,Rabies,Dengue,1.655814154834161,1.7117155679917486,1.896060976571289,0.06415820996970711,0.31892524616359413,0.07104517070090735,0.31892524616359413,0.056964948038311,0.31892524616359413,0.13344332559766284,0.31892524616359413,0.10184935253478081,-0.38514305490413675,0.2466573860460041,1.0,0.10056365763110305,-1.0,0.07224217274330211,0.31892524616359413,0.07112821037566253,0.31892524616359413,0.08194756636255919,-0.29593169893226917
Zika,452,27,-0.0158824608473622,0.45533769063180823,-0.0010962865581992357,0.003220950198069158,0.02659607348996155,0.01855554683011329,0.00563045374057453,H3N2,Dengue,Influenza_B,1.992223062353187,2.4571874951683315,2.9229216348359053,0.09254764160773514,1.0,0.09012383260149553,1.0,0.0,1.0,0.1730212757089491,1.0,0.0,0.1975476841098857,0.2734411559604272,0.45305957106171985,0.08397587524828694,-0.45305957106171985,0.0865320266717929,1.0,0.09853144887930594,1.0,0.10182674332200721,0.3493927448283944
Rabies,491,39,-0.06803621299725564,0.5203085999546178,0.0004884651189546559,-0.033773873939150496,-0.033773873939150496,0.1934619031455984,-0.001081815041905827,RSV,Dengue,Norovirus,0.7836835011020503,1.0655403117359639,1.091282147109306,0.0,0.18487482675296407,0.0,0.18487482675296407,0.0,0.18487482675296407,0.39380668410865893,1.0,0.0,0.18487482675296407,0.3014358187664925,1.0,0.192128536173927,0.4004918023963845,0.0,0.18487482675296407,0.0,0.18487482675296407,0.11262896095092156,-0.4146333708506514
EV-A71,261,27,0.14248591115311598,0.5023741690408356,-0.029823561019499605,-0.025031308716087945,-0.025031308716087945,-0.0896609840202833,0.008269197436908494,Norovirus,RSV,Rabies,1.584620684383937,1.7418922274315396,2.0080661189600915,0.09156074895358186,-0.2589408747667028,0.09531309665705871,-0.2589408747667028,0.06324453179983154,-0.2589408747667028,0.17412956628396978,0.4152096842473666,0.14715695462100736,-0.2589408747667028,0.11907046900575273,1.0,0.11307509092730116,0.4152096842473666,0.04887583277166741,-0.2589408747667028,0.0872910169679443,-0.2589408747667028,0.0602826920118851,-0.2589408747667028
