iteration,omega2_scoring_x_pathogen
0,0.2326780230694181
1,0.25906627267409893
2,0.23438733610618287
3,0.343877279618784
4,0.2585276252247634
5,0.31251401836651893
6,0.26195814771692555
7,0.2841643473997512
8,0.29892613630076276
9,0.2545672333274248
10,0.2892627032902827
11,0.24724079985372036
12,0.3276290392256792
13,0.3396457623289006
14,0.22747539487207732
15,0.2792306445851022
16,0.22865646716396423
17,0.2947756337643085
18,0.2725061456775884
19,0.23211163355788436
20,0.2624265939365096
21,0.2828628887521106
22,0.23919451854657633
23,0.29637211602857483
24,0.3501521532688755
25,0.23571914720281684
26,0.267934110384311
27,0.3257048997409286
28,0.24727792197554124
29,0.29236208619164405
30,0.3366486049364125
31,0.295232094070546
32,0.298086925286582
33,0.28106066230520155
34,0.20938664521465886
35,0.20746041153603165
36,0.2813433310372467
37,0.2681557027718642
38,0.30693795558228987
39,0.22007070997784775
40,0.24461692042715927
41,0.23437165599311444
42,0.17963890419339199
43,0.30499186409018947
44,0.32292955566329706
45,0.2810589511856534
46,0.20779482493088583
47,0.3104980423242492
48,0.2900378443754102
49,0.22511721230341705
50,0.3403397806530258
51,0.22553143162526176
52,0.3002223697915277
53,0.2333222723704958
54,0.32454980057126565
55,0.2655989121194001
56,0.2511621389756951
57,0.2550371022983664
58,0.2929387373535589
59,0.29610759189824853
60,0.24426058585781282
61,0.23338649590792337
62,0.18691091065947832
63,0.23091765449953963
64,0.24992109581456431
65,0.23203908359973818
66,0.24201347016842345
67,0.344705057520193
68,0.29918597700505184
69,0.3210541083351247
70,0.23893463306679494
71,0.21668365508969561
72,0.25784400560437454
73,0.31326409851970494
74,0.22189421908993923
75,0.2225103832023867
76,0.27845238226057784
77,0.3026601664296405
78,0.24960494821987578
79,0.2393759052418998
80,0.19585306059424473
81,0.23930175272090545
82,0.22505695293704453
83,0.2584396306212773
84,0.23861872719325702
85,0.22271169245922015
86,0.346113796634869
87,0.3205371799945881
88,0.2884487205781052
89,0.2710435333926965
90,0.27713497137112003
91,0.2554327978895207
92,0.2843152896106753
93,0.33693255144124046
94,0.2378014348576059
95,0.23915309695336004
96,0.2863813226886297
97,0.2349206982490932
98,0.24962276879409778
99,0.3037147229434977
100,0.295232094070546
101,0.24032350637692682
102,0.24727249183954747
103,0.32440405144373224
104,0.26497870660434214
105,0.29169262675175966
106,0.34333230042603025
107,0.27863682484404745
108,0.27876200826412323
109,0.2901967754081729
110,0.26158934115609994
111,0.3133261910509419
112,0.3162132428081628
113,0.30970610209756183
114,0.23620859252465587
115,0.21708265782414243
116,0.2445018292878837
117,0.22553143162526176
118,0.24189394605715722
119,0.32546297906116434
120,0.2903944615529895
121,0.265207797828881
122,0.25722303217520065
123,0.2807910289232589
124,0.3537443118199381
125,0.3108702174171186
